symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1101.TW,2022-01-06,43,43.28,42.87,43.28,41.560791,13608960,13608960,0.28,0.65116,43.14,"January 06, 22",0.0065116
1101.TW,2022-01-05,42.82,43,42.73,42.87,41.167881,10688966,10688966,0.05,0.11677,42.87,"January 05, 22",0.0011677
1101.TW,2022-01-04,43.18,43.28,42.73,43,41.298847,12594043,12594043,-0.18,-0.41686,43,"January 04, 22",-0.0041686
1101.TW,2022-01-03,43.68,43.78,43.05,43.14,41.429821,13591954,13591954,-0.54,-1.24,43.32,"January 03, 22",-0.0124
1101.TW,2021-12-30,43.78,43.82,43.64,43.64,41.910038,5085536,5085536,-0.14,-0.31978,43.7,"December 30, 21",-0.0031978
1101.TW,2021-12-29,43.78,43.87,43.68,43.78,42.041004,5849463,5849463,0,0,43.78,"December 29, 21",0
1101.TW,2021-12-28,43.73,43.78,43.59,43.78,42.041004,8563478,8563478,0.05,0.11434,43.71,"December 28, 21",0.0011434
1101.TW,2021-12-27,43.55,43.73,43.55,43.73,41.997353,6293217,6293217,0.18,0.41332,43.67,"December 27, 21",0.0041332
1101.TW,2021-12-24,43.41,43.59,43.41,43.55,41.822723,6587581,6587581,0.14,0.32251,43.52,"December 24, 21",0.0032251
1101.TW,2021-12-23,43,43.37,43,43.37,41.648102,10316971,10316971,0.37,0.86047,43.25,"December 23, 21",0.0086047
1101.TW,2021-12-22,43.09,43.14,42.91,43.09,41.386162,6011561,6011561,0,0,43.05,"December 22, 21",0
1101.TW,2021-12-21,43.09,43.14,42.82,42.96,41.255196,6240365,6240365,-0.13,-0.30169,42.97,"December 21, 21",-0.0030169
1101.TW,2021-12-20,43.14,43.18,42.82,43.09,41.386162,12445690,12445690,-0.05,-0.1159,43.03,"December 20, 21",-0.001159
1101.TW,2021-12-17,42.68,43.28,42.64,43.14,41.429821,20359806,20359806,0.46,1.08,43.02,"December 17, 21",0.0108
1101.TW,2021-12-16,42.73,42.87,42.55,42.64,40.9496,8276670,8276670,-0.09,-0.21062,42.68,"December 16, 21",-0.0021062
1101.TW,2021-12-15,42.73,43,42.55,42.68,40.993256,12313640,12313640,-0.05,-0.11701,42.75,"December 15, 21",-0.0011701
1101.TW,2021-12-14,42.78,42.91,42.68,42.73,41.036915,10316981,10316981,-0.05,-0.11688,42.78,"December 14, 21",-0.0011688
1101.TW,2021-12-13,43,43.41,42.82,42.82,41.124226,8582527,8582527,-0.18,-0.4186,43.02,"December 13, 21",-0.004186
1101.TW,2021-12-10,43.09,43.28,42.82,43,41.298847,10916177,10916177,-0.09,-0.20887,43.03,"December 10, 21",-0.0020887
1101.TW,2021-12-09,43.46,43.5,42.82,43.09,41.386162,10251908,10251908,-0.37,-0.85136,43.14,"December 09, 21",-0.0085136
1101.TW,2021-12-08,43.41,43.46,43.18,43.37,41.648102,11407503,11407503,-0.04,-0.09214467,43.34,"December 08, 21",-0.0009214467
1101.TW,2021-12-07,43.05,43.23,42.64,43.23,41.517128,14438737,14438737,0.18,0.41812,43.03,"December 07, 21",0.0041812
1101.TW,2021-12-06,42.23,43.05,42.18,43,41.298847,16636635,16636635,0.77,1.82,42.75,"December 06, 21",0.0182
1101.TW,2021-12-03,42.32,42.59,42.18,42.18,40.513039,15814749,15814749,-0.14,-0.33081,42.32,"December 03, 21",-0.0033081
1101.TW,2021-12-02,42.37,42.46,42.09,42.09,40.425724,15982110,15982110,-0.28,-0.66084,42.21,"December 02, 21",-0.0066084
1101.TW,2021-12-01,41.82,42.59,41.82,42.37,40.68766,17740509,17740509,0.55,1.32,42.26,"December 01, 21",0.0132
1101.TW,2021-11-30,42.28,43,41.82,41.82,40.163784,37037887,37037887,-0.46,-1.09,42.21,"November 30, 21",-0.0109
1101.TW,2021-11-29,41.87,42.41,41.78,42.28,40.600349,20348871,20348871,0.41,0.97922,42.15,"November 29, 21",0.0097922
